Name,STATE ABBREVIATION,PARTY,GE WINNER INDICATOR
Tommy Tuberville,AL,R,W
Doug Jones,AL,D,
Dan Sullivan,AK,R,W
Al Gross,AK,N(D)/D,
Mark Kelly,AZ,D,W
Martha McSally,AZ,R,
Tom Cotton,AR,R,W
Ricky Dale Jr. Harrington,AR,LIB,
John Hickenlooper,CO,D,W
Cory Gardner,CO,R,
Lauren Witzke,DE,R,
Jon Ossoff,GA,D,W
David Perdue,GA,R,
Raphael Warnock,GA,D,W
Kelly Loeffler,GA,R,
Doug Collins,GA,R,
Jim Risch,ID,R,W
Paulette Jordan,ID,D,
Richard J. Durbin,IL,D,W
Mark C. Jr. Curran,IL,R,
Joni Ernst,IA,R,W
Theresa Greenfield,IA,D,
Roger Marshall,KS,R,W
Barbara Bollier,KS,D,
Mitch McConnell,KY,R,W
Amy McGrath,KY,D,
Adrian Perkins,LA,D,
Susan Margaret Collins,ME,R,W
Sara Gideon,ME,D,
Kevin J. O'Connor,MA,R,
John James,MI,R,
Tina Smith,MN,DFL,W
Jason Lewis,MN,R,
Cindy Hyde-Smith,MS,R,W
Mike Espy,MS,D,
Steve Daines,MT,R,W
Steve Bullock,MT,D,
Ben Sasse,NE,R,W
Chris Janicek,NE,D,
Jeanne Shaheen,NH,D,W
Corky Messner,NH,R,
"Rikin ""Rik"" Mehta",NJ,R,
Mark V. Ronchetti,NM,R,
Cal Cunningham,NC,D,
Jim Inhofe,OK,R,W
Abby Broyles,OK,D,
Jeff Merkley,OR,DEM/IP/WF,W
Joe Rae Perkins,OR,R,
John F. Reed,RI,D,W
Allen R. Waters,RI,R,
Lindsey Graham,SC,R,W
Jaime Harrison,SC,D,
Mike Rounds,SD,R,W
Dan Ahlers,SD,D,
Bill Hagerty,TN,R,W
Marquita  Bradshaw,TN,D,
John Cornyn,TX,R,W
"Mary ""MJ""  Hegar",TX,D,
Mark Warner,VA,D,W
Daniel M. Gade,VA,R,
Paula Jean Swearengin,WV,D,
Merav Ben David,WY,D,
