Name,Party ,State 
 Tammy Baldwin,D,WI
 John Barrasso,R,WY
 Michael F. Bennet,D,CO
 Marsha Blackburn,R,TN
 Richard Blumenthal,D,CT
 Cory  Booker,D,NJ
 John Boozman,R,AR
 Mike Braun,R,IN
 Katie  Britt,R,AL
 Sherrod Brown,D,OH
 Ted Budd,R,NC
 Maria Cantwell,D,WA
 Shelley Moore Capito,R,WV
 Benjamin Cardin,D,MD
 Thomas  Carper,D,DE
 Robert Jr. Casey,D,PA
 Bill Cassidy,R,LA
 Susan  Collins,R,ME
 Christopher  Coons,D,DE
 John Cornyn,R,TX
 Catherine Cortez Masto,D,NV
 Tom Cotton,R,AR
 Kevin Cramer,R,ND
 Mike Crapo,R,ID
 Ted Cruz,R,TX
 Steve Daines,R,MT
 Tammy Duckworth,D,IL
 Richard  Durbin,D,IL
 Joni Ernst,R,IA
 Dianne Feinstein,D,CA
 John Fetterman,D,PA
 Deb Fischer,R,NE
 Kirsten  Gillibrand,D,NY
 Lindsey Graham,R,SC
 Chuck Grassley,R,IA
 Bill Hagerty,R,TN
 Maggie Hassan,D,NH
 Josh Hawley,R,MO
 Martin Heinrich,D,NM
 John  Hickenlooper,D,CO
 Mazie  Hirono,D,HI
 John Hoeven,R,ND
 Cindy Hyde-Smith,R,MS
 Ron Johnson,R,WI
 Tim Kaine,D,VA
 Mark Kelly,D,AZ
 John Kennedy,R,LA
 Angus  King,I,ME
 Amy Klobuchar,D,MN
 James Lankford,R,OK
 Mike Lee,R,UT
Ben Ray Lujan,D,NM
 Cynthia  Lummis,R,WY
 Joe Manchin,D,WV
 Edward  Markey,D,MA
 Roger Marshall,R,KS
 Mitch McConnell,R,KY
 Bob Menendez,D,NJ
 Jeff Merkley,D,OR
 Jerry Moran,R,KS
 Markwayne Mullin,R,OK
 Lisa Murkowski,R,AK
 Christopher Murphy,D,CT
 Patty Murray,D,WA
 Jon Ossoff,D,GA
 Alex Padilla,D,CA
 Rand Paul,R,KY
 Gary  Peters,D,MI
 Jack Reed,D,RI
 Pete Ricketts,R,NE
 James  Risch,R,ID
 Mitt Romney,R,UT
 Jacky Rosen,D,NV
 Mike Rounds,R,SD
 Marco Rubio,R,FL
 Bernard Sanders,I,VT
 Ben Sasse,R,NE
 Brian Schatz,D,HI
 Eric Schmitt,R,MO
 Charles  Schumer,D,NY
 Rick Scott,R,FL
 Tim Scott,R,SC
 Jeanne Shaheen,D,NH
 Kyrsten Sinema,D,AZ
 Tina Smith,D,MN
 Debbie Stabenow,D,MI
 Dan Sullivan,R,AK
 Jon Tester,D,MT
 John Thune,R,SD
 Thom Tillis,R,NC
 Tommy Tuberville,R,AL
 Chris Van Hollen,D,MD
 J.D.  Vance,R,OH
 Mark  Warner,D,VA
 Raphael  Warnock,D,GA
 Elizabeth Warren,D,MA
 Peter Welch,D,VT
 Sheldon Whitehouse,D,RI
 Roger  Wicker,R,MS
 Ron Wyden,D,OR
 Todd Young,R,IN
